time (secs),altitude (ft),speed (ft/s)
0,0,0.0
0.25,0.0,0.0
0.5,48.61111111111111,194.44444444444443
0.75,97.22222222222221,194.44444444444443
1.0,116.66666666666666,77.77777777777777
1.25,145.83333333333331,116.66666666666663
1.5,165.27777777777777,77.77777777777783
1.75,194.44444444444443,116.66666666666663
2.0,223.6111111111111,116.66666666666663
2.25,252.77777777777774,116.66666666666663
2.5,272.2222222222222,77.77777777777771
2.75,291.66666666666663,77.77777777777783
3.0,311.1111111111111,77.77777777777783
3.25,330.55555555555554,77.77777777777783
3.5,350.0,77.77777777777783
3.75,359.72222222222223,38.888888888888914
4.0,369.44444444444446,38.888888888888914
4.25,379.1666666666667,38.888888888888914
4.5,388.8888888888889,38.888888888888914
4.75,388.8888888888889,0.0
5.0,398.61111111111114,38.888888888888914
5.25,398.61111111111114,0.0
5.5,388.8888888888889,-38.888888888888914
5.75,388.8888888888889,0.0
6.0,388.8888888888889,0.0
6.25,379.1666666666667,-38.888888888888914
6.5,379.1666666666667,0.0
6.75,379.1666666666667,0.0
7.0,369.44444444444446,-38.888888888888914
7.25,369.44444444444446,0.0
7.5,369.44444444444446,0.0
7.75,359.72222222222223,-38.888888888888914
8.0,359.72222222222223,0.0
8.25,359.72222222222223,0.0
8.5,350.0,-38.888888888888914
8.75,350.0,0.0
9.0,350.0,0.0
9.25,340.27777777777777,-38.888888888888914
9.5,340.27777777777777,0.0
9.75,340.27777777777777,0.0
10.0,330.55555555555554,-38.888888888888914
13.0,311.1111111111111,-6.481481481481485
16.0,281.9444444444444,-9.722222222222229
19.0,243.05555555555551,-12.962962962962962
22.0,204.16666666666663,-12.962962962962962
25.0,165.27777777777774,-12.962962962962962
28.0,126.38888888888886,-12.962962962962962
31.0,97.2222222222222,-9.72222222222222
34.0,58.333333333333314,-12.962962962962962
37.0,19.44444444444443,-12.962962962962962
40.0,9.722222222222207,-3.2407407407407405
43.0,-1.4210854715202004e-14,-3.2407407407407405
46.0,-1.4210854715202004e-14,0.0
49.0,-1.4210854715202004e-14,0.0
52.0,-1.4210854715202004e-14,0.0
55.0,-1.4210854715202004e-14,0.0
58.0,-1.4210854715202004e-14,0.0
61.0,-1.4210854715202004e-14,0.0
64.0,-1.4210854715202004e-14,0.0
67.0,-1.4210854715202004e-14,0.0
70.0,-1.4210854715202004e-14,0.0
73.0,-1.4210854715202004e-14,0.0
76.0,-1.4210854715202004e-14,0.0
79.0,-1.4210854715202004e-14,0.0
82.0,-1.4210854715202004e-14,0.0
85.0,-1.4210854715202004e-14,0.0
88.0,-1.4210854715202004e-14,0.0
91.0,-1.4210854715202004e-14,0.0
94.0,-1.4210854715202004e-14,0.0
97.0,-1.4210854715202004e-14,0.0
100.0,-1.4210854715202004e-14,0.0
103.0,-1.4210854715202004e-14,0.0
106.0,-1.4210854715202004e-14,0.0
109.0,-1.4210854715202004e-14,0.0
112.0,-1.4210854715202004e-14,0.0
