time (secs),altitude (ft),speed (ft/s)
0,0,0.0
0.25,0.0,0.0
0.5,38.888888888888886,155.55555555555554
0.75,77.77777777777777,155.55555555555554
1.0,116.66666666666666,155.55555555555554
1.25,165.27777777777777,194.44444444444446
1.5,223.6111111111111,233.33333333333326
1.75,281.9444444444444,233.33333333333326
2.0,311.1111111111111,116.66666666666674
2.25,340.27777777777777,116.66666666666674
2.5,359.72222222222223,77.77777777777783
2.75,398.6111111111111,155.55555555555543
3.0,427.77777777777777,116.66666666666674
3.25,456.94444444444446,116.66666666666674
3.5,495.83333333333337,155.55555555555566
3.75,525.0,116.66666666666652
4.0,544.4444444444445,77.77777777777783
4.25,573.6111111111111,116.66666666666652
4.5,602.7777777777777,116.66666666666652
4.75,593.0555555555555,-38.88888888888869
5.0,622.2222222222222,116.66666666666652
5.25,622.2222222222222,0.0
5.5,631.9444444444443,38.88888888888869
5.75,631.9444444444443,0.0
6.0,631.9444444444443,0.0
6.25,622.2222222222222,-38.88888888888869
6.5,622.2222222222222,0.0
6.75,622.2222222222222,0.0
7.0,622.2222222222222,0.0
7.25,612.5,-38.88888888888869
7.5,602.7777777777778,-38.88888888888869
7.75,593.0555555555557,-38.88888888888869
8.0,573.6111111111112,-77.77777777777783
8.25,563.888888888889,-38.88888888888869
8.5,563.888888888889,0.0
8.75,554.1666666666669,-38.88888888888869
9.0,554.1666666666669,0.0
9.25,544.4444444444447,-38.88888888888869
9.5,534.7222222222225,-38.88888888888869
9.75,525.0000000000003,-38.88888888888869
10.0,515.2777777777782,-38.88888888888869
13.0,456.94444444444485,-19.44444444444444
16.0,369.44444444444485,-29.166666666666668
19.0,252.7777777777782,-38.888888888888886
22.0,126.38888888888931,-42.129629629629626
25.0,58.33333333333377,-22.68518518518518
28.0,29.166666666667105,-9.722222222222221
31.0,9.722222222222662,-6.481481481481481
34.0,4.405364961712621e-13,-3.2407407407407405
37.0,4.405364961712621e-13,0.0
40.0,4.405364961712621e-13,0.0
43.0,4.405364961712621e-13,0.0
46.0,4.405364961712621e-13,0.0
49.0,4.405364961712621e-13,0.0
52.0,4.405364961712621e-13,0.0
55.0,4.405364961712621e-13,0.0
58.0,4.405364961712621e-13,0.0
61.0,4.405364961712621e-13,0.0
64.0,4.405364961712621e-13,0.0
67.0,4.405364961712621e-13,0.0
70.0,4.405364961712621e-13,0.0
73.0,4.405364961712621e-13,0.0
76.0,4.405364961712621e-13,0.0
79.0,4.405364961712621e-13,0.0
82.0,4.405364961712621e-13,0.0
85.0,4.405364961712621e-13,0.0
88.0,4.405364961712621e-13,0.0
91.0,4.405364961712621e-13,0.0
94.0,4.405364961712621e-13,0.0
97.0,4.405364961712621e-13,0.0
100.0,4.405364961712621e-13,0.0
103.0,4.405364961712621e-13,0.0
106.0,4.405364961712621e-13,0.0
109.0,4.405364961712621e-13,0.0
112.0,4.405364961712621e-13,0.0
115.0,4.405364961712621e-13,0.0
